,Idade,Salario_anual,Situacao_prop,Tempo_trabalho,Motivo_emprest,Pont_emprest,Total_emprest,Tx_juros,Possib_inadimp,Renda_pecentual,Periodo,Inadimplente
112,23.0,70000.0,Rent,8.0,Venture,A,6725.0,6.62,0.0,0.1,2,N
113,24.0,77000.0,Mortgage,8.0,Medical,A,14000.0,8.94,0.0,0.18,3,N
114,23.0,95000.0,Mortgage,1.0,Education,C,19800.0,13.22,1.0,0.21,4,Y
115,25.0,39000.0,Rent,4.0,Medical,A,4000.0,7.88,0.0,0.1,4,N
116,40.0,39500.0,Own,0.0,Personal,A,10000.0,7.29,0.0,0.25,11,N
117,24.0,40000.0,Mortgage,1.0,Medical,B,7500.0,12.42,0.0,0.19,4,N
118,29.0,28000.0,Rent,2.0,Personal,D,5000.0,16.07,1.0,0.18,8,N
119,22.0,110000.0,Rent,3.0,Debtconsolidation,B,12600.0,10.75,0.0,0.11,2,N
120,24.0,55000.0,Rent,0.0,Venture,B,6600.0,6.92,0.0,0.15,9,N
121,28.0,11029.0,Mortgage,12.0,Debtconsolidation,C,2150.0,10.78,1.0,0.19,6,Y
122,36.0,20004.0,Rent,1.0,Venture,B,4375.0,10.74,0.0,0.22,17,N
123,33.0,49000.0,Rent,2.0,Venture,B,6000.0,10.99,0.0,0.12,6,N
124,23.0,68500.0,Mortgage,7.0,Education,C,4200.0,11.66,0.0,0.06,4,Y
125,23.0,16000.0,Rent,6.0,Debtconsolidation,C,2250.0,13.49,0.0,0.14,4,N
126,23.0,26976.0,Rent,4.0,Education,A,9000.0,7.51,1.0,0.33,2,N
127,25.0,31500.0,Rent,8.0,Debtconsolidation,A,14850.0,8.9,1.0,0.47,3,N
128,22.0,30000.0,Mortgage,6.0,Debtconsolidation,C,5000.0,13.23,0.0,0.17,4,N
129,22.0,29654.0,Rent,3.0,Education,C,7000.0,14.22,1.0,0.24,3,N
130,22.0,30000.0,Own,6.0,Venture,A,6000.0,7.49,0.0,0.2,3,N
131,22.0,50000.0,Mortgage,6.0,Venture,B,10000.0,9.88,0.0,0.2,4,N
132,31.0,25200.0,Rent,0.0,Personal,A,1400.0,6.99,0.0,0.06,6,N
133,32.0,37000.0,Rent,0.0,Venture,B,5000.0,11.49,0.0,0.14,7,N
134,27.0,42996.0,Rent,1.0,Medical,C,5000.0,13.61,0.0,0.12,6,N
135,23.0,90000.0,Rent,2.0,Medical,B,20000.0,11.49,0.0,0.22,4,N
136,28.0,63550.0,Mortgage,12.0,Homeimprovement,A,12500.0,11.0,0.0,0.2,10,N
137,27.0,58000.0,Rent,1.0,Venture,B,8000.0,11.36,0.0,0.14,7,N
138,24.0,60000.0,Rent,0.0,Venture,A,6800.0,7.51,0.0,0.11,2,N
139,30.0,47000.0,Rent,2.0,Debtconsolidation,B,13000.0,9.63,0.0,0.28,5,N
140,31.0,56000.0,Rent,15.0,Debtconsolidation,C,3000.0,14.27,0.0,0.05,6,N
141,23.0,77000.0,Rent,3.0,Venture,B,1150.0,10.95,0.0,0.01,2,N
142,31.0,47000.0,Rent,4.0,Venture,A,6000.0,6.99,0.0,0.13,7,N
143,25.0,59000.0,Rent,0.0,Medical,D,5000.0,15.62,1.0,0.08,3,Y
144,22.0,123000.0,Mortgage,6.0,Education,A,7000.0,7.51,0.0,0.06,4,N
145,25.0,85000.0,Mortgage,7.0,Debtconsolidation,C,12000.0,14.65,0.0,0.14,2,N
146,28.0,53000.0,Rent,0.0,Medical,C,12000.0,14.72,0.0,0.23,8,N
147,25.0,31000.0,Mortgage,4.0,Homeimprovement,A,5200.0,5.42,0.0,0.17,4,N
148,22.0,126000.0,Mortgage,6.0,Education,B,24000.0,11.36,0.0,0.19,4,N
149,22.0,50000.0,Mortgage,0.0,Debtconsolidation,A,12800.0,5.79,0.0,0.26,2,N
150,24.0,54000.0,Rent,3.0,Medical,C,2400.0,13.49,1.0,0.04,4,Y
151,23.0,34000.0,Own,7.0,Venture,A,10950.0,7.29,0.0,0.32,2,N
152,26.0,76160.0,Mortgage,10.0,Education,A,7400.0,7.51,0.0,0.1,2,N
153,27.0,55000.0,Mortgage,2.0,Venture,D,7000.0,11.0,0.0,0.13,7,Y
154,37.0,55000.0,Rent,3.0,Homeimprovement,E,7000.0,16.32,0.0,0.13,13,Y
155,24.0,87663.0,Mortgage,5.0,Homeimprovement,B,14400.0,11.0,0.0,0.16,2,N
156,33.0,140000.0,Mortgage,14.0,Debtconsolidation,A,9600.0,6.91,0.0,0.07,5,N
157,28.0,150000.0,Own,12.0,Homeimprovement,A,8500.0,6.76,0.0,0.06,8,N
158,36.0,30500.0,Rent,3.0,Homeimprovement,B,8000.0,11.11,1.0,0.26,13,N
159,31.0,41053.0,Mortgage,1.0,Personal,A,12000.0,11.0,0.0,0.29,7,N
160,24.0,143123.0,Mortgage,2.0,Personal,D,4000.0,12.61,0.0,0.03,4,N
161,27.0,42000.0,Rent,2.0,Medical,A,6550.0,7.88,0.0,0.16,8,N
162,27.0,45760.0,Own,6.0,Medical,B,14000.0,11.0,0.0,0.31,6,N
163,22.0,18000.0,Rent,4.0,Debtconsolidation,C,2400.0,13.61,0.0,0.13,3,Y
164,25.0,42769.0,Rent,3.0,Education,A,1500.0,7.49,0.0,0.04,3,N
165,27.0,36000.0,Rent,2.0,Debtconsolidation,D,12000.0,14.09,1.0,0.33,10,Y
166,27.0,55000.0,Rent,3.0,Education,E,10000.0,6.92,0.0,0.2,2,N
167,24.0,29000.0,Mortgage,1.0,Homeimprovement,B,20000.0,10.62,0.0,0.69,3,N
168,46.0,60350.0,Rent,3.0,Personal,A,10000.0,8.94,0.0,0.17,17,N
169,26.0,70000.0,Rent,7.0,Debtconsolidation,C,20000.0,13.16,1.0,0.29,3,N
170,29.0,220000.0,Mortgage,13.0,Debtconsolidation,B,8500.0,10.37,0.0,0.04,5,N
171,49.0,45000.0,Rent,2.0,Debtconsolidation,C,15000.0,13.49,1.0,0.33,12,N
172,31.0,28800.0,Rent,1.0,Venture,B,5000.0,9.25,0.0,0.17,7,N
173,31.0,60000.0,Mortgage,15.0,Debtconsolidation,A,10000.0,9.63,0.0,0.17,8,N
174,31.0,180000.0,Own,15.0,Education,B,10000.0,11.71,0.0,0.06,7,N
175,25.0,90000.0,Mortgage,2.0,Medical,B,15000.0,12.42,0.0,0.17,2,N
176,24.0,48996.0,Rent,5.0,Medical,C,5000.0,13.79,0.0,0.1,4,Y
177,24.0,29000.0,Rent,0.0,Medical,D,12000.0,15.05,1.0,0.41,2,Y
178,34.0,60100.0,Mortgage,6.0,Education,A,1500.0,6.03,0.0,0.02,6,N
179,26.0,45000.0,Rent,5.0,Medical,B,2000.0,11.49,0.0,0.04,3,N
180,25.0,30000.0,Rent,9.0,Venture,D,9000.0,17.58,0.0,0.3,2,N
181,35.0,48000.0,Rent,6.0,Education,A,17000.0,7.88,1.0,0.35,8,N
182,25.0,150000.0,Mortgage,3.0,Medical,A,12000.0,11.0,0.0,0.08,2,N
183,25.0,60000.0,Other,3.0,Debtconsolidation,B,5000.0,11.14,0.0,0.08,3,N
184,22.0,40058.0,Mortgage,5.0,Venture,B,6000.0,9.91,0.0,0.15,2,N
185,29.0,28800.0,Rent,2.0,Education,A,7225.0,6.92,0.0,0.25,7,N
186,46.0,82359.0,Mortgage,6.0,Personal,A,6600.0,7.66,0.0,0.08,13,N
187,23.0,92000.0,Rent,2.0,Education,A,4000.0,5.42,0.0,0.04,2,N
188,22.0,30000.0,Mortgage,6.0,Education,D,6600.0,14.42,0.0,0.22,4,N
189,35.0,218000.0,Rent,4.0,Debtconsolidation,D,7000.0,14.11,1.0,0.03,9,Y
190,26.0,30000.0,Rent,2.0,Education,A,1000.0,9.63,0.0,0.03,3,N
191,36.0,84695.0,Rent,2.0,Medical,A,12000.0,7.29,0.0,0.14,14,N
192,42.0,101000.0,Mortgage,6.0,Debtconsolidation,F,25000.0,16.15,1.0,0.25,17,Y
193,22.0,76000.0,Mortgage,0.0,Education,B,15000.0,10.99,0.0,0.2,3,N
194,22.0,165000.0,Mortgage,5.0,Venture,D,24000.0,15.62,0.0,0.15,2,Y
195,24.0,47000.0,Rent,3.0,Personal,F,24000.0,17.8,1.0,0.51,2,N
196,28.0,35000.0,Rent,5.0,Medical,D,10000.0,14.61,0.0,0.29,7,N
197,40.0,55182.0,Rent,0.0,Venture,A,6000.0,6.99,0.0,0.11,13,N
198,23.0,44000.0,Rent,4.0,Personal,B,3000.0,9.62,1.0,0.07,4,N
199,38.0,53052.0,Rent,0.0,Education,B,8000.0,11.0,0.0,0.15,15,N
200,26.0,40000.0,Own,0.0,Medical,B,4300.0,10.74,0.0,0.11,2,N
201,55.0,24543.0,Rent,3.0,Venture,C,4000.0,13.92,0.0,0.16,27,Y
202,21.0,63996.0,Rent,6.0,Venture,C,12000.0,13.79,0.0,0.19,4,N
203,30.0,38000.0,Rent,0.0,Medical,A,12800.0,5.79,1.0,0.34,8,N
204,30.0,90000.0,Mortgage,14.0,Personal,A,18000.0,8.49,0.0,0.2,7,N
205,23.0,54000.0,Rent,7.0,Personal,C,12000.0,11.0,0.0,0.22,3,Y
206,21.0,36000.0,Mortgage,5.0,Personal,A,2800.0,6.99,0.0,0.08,2,N
207,28.0,200000.0,Rent,0.0,Personal,C,16000.0,10.91,0.0,0.08,9,Y
208,24.0,47000.0,Mortgage,3.0,Medical,B,12000.0,12.21,0.0,0.26,3,N
209,28.0,50000.0,Rent,4.0,Personal,A,15000.0,7.49,0.0,0.3,8,N
210,44.0,30000.0,Own,3.0,Venture,B,7500.0,10.39,0.0,0.25,11,N
211,24.0,44000.0,Own,8.0,Venture,A,14500.0,7.29,0.0,0.33,2,N
212,24.0,40000.0,Mortgage,6.0,Debtconsolidation,B,5000.0,11.11,0.0,0.13,2,N
213,22.0,51500.0,Mortgage,6.0,Education,B,7500.0,9.88,0.0,0.15,3,N
214,26.0,66000.0,Rent,3.0,Homeimprovement,B,25000.0,11.58,1.0,0.38,4,N
215,22.0,50663.0,Rent,0.0,Debtconsolidation,C,7500.0,13.22,0.0,0.15,3,N
216,23.0,31200.0,Rent,6.0,Venture,B,8000.0,11.49,0.0,0.26,4,N
217,22.0,29000.0,Rent,6.0,Medical,A,10000.0,7.29,1.0,0.34,3,N
218,25.0,62393.0,Other,0.0,Medical,D,20000.0,15.05,1.0,0.27,3,Y
219,22.0,94200.0,Mortgage,6.0,Personal,B,20000.0,8.88,0.0,0.21,2,N
220,24.0,55000.0,Rent,3.0,Education,A,14500.0,6.62,0.0,0.26,2,N
221,29.0,32400.0,Rent,11.0,Homeimprovement,A,5800.0,5.79,1.0,0.18,5,N
222,24.0,19200.0,Rent,2.0,Debtconsolidation,B,5000.0,11.0,1.0,0.26,3,N
223,36.0,63000.0,Mortgage,7.0,Medical,A,4200.0,7.14,0.0,0.07,13,N
224,27.0,80000.0,Mortgage,5.0,Venture,C,35000.0,11.0,0.0,0.44,8,N
225,22.0,27996.0,Rent,4.0,Medical,C,5000.0,11.0,0.0,0.18,3,Y
226,46.0,47000.0,Mortgage,5.0,Personal,A,6000.0,7.14,0.0,0.13,14,N
227,25.0,30000.0,Rent,6.0,Debtconsolidation,B,8000.0,10.74,0.0,0.27,3,N
228,28.0,131040.0,Mortgage,0.0,Medical,C,10000.0,13.35,0.0,0.08,7,Y
229,22.0,31200.0,Rent,0.0,Debtconsolidation,A,2700.0,6.91,0.0,0.09,4,N
230,28.0,80000.0,Mortgage,0.0,Homeimprovement,B,6500.0,11.11,0.0,0.08,7,N
231,37.0,42000.0,Mortgage,4.0,Debtconsolidation,A,3000.0,6.17,1.0,0.07,13,N
232,50.0,85000.0,Rent,1.0,Homeimprovement,C,17500.0,13.49,0.0,0.21,17,N
233,31.0,101000.0,Rent,2.0,Education,C,7500.0,13.22,0.0,0.07,5,Y
234,25.0,50000.0,Mortgage,9.0,Venture,A,18650.0,7.9,0.0,0.37,4,N
235,22.0,24960.0,Rent,0.0,Venture,A,2500.0,7.51,0.0,0.1,2,N
236,25.0,66000.0,Mortgage,0.0,Homeimprovement,B,18500.0,12.21,0.0,0.28,2,N
237,23.0,40000.0,Mortgage,6.0,Medical,B,13200.0,11.0,0.0,0.33,4,N
238,41.0,42000.0,Rent,1.0,Venture,B,3200.0,12.18,0.0,0.08,16,N
239,25.0,107000.0,Mortgage,10.0,Homeimprovement,A,3000.0,11.0,0.0,0.03,2,N
240,37.0,55000.0,Rent,4.0,Personal,B,3000.0,11.0,0.0,0.05,14,N
241,33.0,68508.0,Rent,17.0,Venture,A,7000.0,8.0,0.0,0.1,10,N
242,37.0,30000.0,Rent,6.0,Medical,B,6500.0,10.37,0.0,0.22,11,N
243,24.0,49296.0,Rent,8.0,Education,A,5000.0,7.88,0.0,0.1,4,N
244,22.0,27996.0,Mortgage,4.0,Medical,D,3250.0,15.21,1.0,0.12,2,N
245,25.0,60000.0,Mortgage,2.0,Personal,B,6900.0,9.99,0.0,0.12,3,N
246,23.0,40000.0,Own,6.0,Education,A,3000.0,7.66,0.0,0.07,3,N
247,24.0,46809.0,Rent,4.0,Medical,B,5000.0,12.18,0.0,0.11,2,N
248,30.0,120000.0,Mortgage,13.0,Education,B,15000.0,11.0,0.0,0.13,8,N
249,26.0,104676.0,Mortgage,4.0,Medical,A,16000.0,5.99,0.0,0.15,4,N
250,43.0,500000.0,Mortgage,5.0,Venture,C,25000.0,12.61,0.0,0.05,14,Y
251,24.0,52000.0,Rent,3.0,Education,B,10000.0,12.42,0.0,0.19,2,N
252,22.0,87000.0,Mortgage,6.0,Education,B,1500.0,10.99,0.0,0.02,4,N
253,32.0,27000.0,Rent,5.0,Venture,C,4500.0,13.11,0.0,0.17,5,Y
254,22.0,60000.0,Rent,4.0,Personal,A,9600.0,7.9,0.0,0.16,3,N
255,27.0,47900.0,Own,1.0,Venture,C,7500.0,13.47,0.0,0.16,8,N
256,35.0,99800.0,Mortgage,9.0,Personal,A,8000.0,7.14,0.0,0.08,9,N
257,25.0,58000.0,Mortgage,9.0,Medical,B,10400.0,12.18,0.0,0.18,2,N
258,33.0,114996.0,Mortgage,0.0,Personal,B,7450.0,11.71,0.0,0.06,5,N
259,33.0,95000.0,Rent,6.0,Homeimprovement,A,3200.0,7.51,0.0,0.03,5,N
260,30.0,107000.0,Mortgage,2.0,Personal,A,5000.0,11.0,0.0,0.05,7,N
261,36.0,76000.0,Rent,2.0,Debtconsolidation,E,4000.0,17.39,1.0,0.05,13,N
262,29.0,80000.0,Rent,13.0,Medical,C,15000.0,13.72,0.0,0.19,5,Y
263,29.0,34000.0,Own,2.0,Venture,E,14400.0,16.0,0.0,0.42,7,Y
264,23.0,48000.0,Mortgage,2.0,Education,A,10000.0,9.32,0.0,0.21,4,N
265,31.0,30000.0,Mortgage,15.0,Debtconsolidation,D,11225.0,13.62,1.0,0.37,6,Y
266,30.0,28000.0,Rent,5.0,Personal,C,12000.0,14.22,1.0,0.43,8,N
267,23.0,36000.0,Rent,4.0,Debtconsolidation,B,9000.0,11.11,0.0,0.25,4,N
268,23.0,40000.0,Rent,0.0,Education,B,5000.0,12.42,0.0,0.13,4,N
269,34.0,39000.0,Rent,0.0,Homeimprovement,C,22400.0,11.0,1.0,0.57,9,Y
270,22.0,75000.0,Rent,1.0,Venture,A,19200.0,11.0,0.0,0.26,2,N
271,21.0,34000.0,Rent,4.0,Education,B,1800.0,11.49,0.0,0.05,4,N
272,27.0,95004.0,Mortgage,1.0,Personal,A,15000.0,7.51,0.0,0.16,9,N
273,27.0,24000.0,Own,1.0,Education,C,6000.0,11.0,0.0,0.25,7,N
274,22.0,52800.0,Own,4.0,Medical,A,7000.0,6.99,0.0,0.13,4,N
275,31.0,30000.0,Rent,0.0,Homeimprovement,D,5500.0,15.21,1.0,0.18,7,Y
276,25.0,180000.0,Mortgage,9.0,Homeimprovement,B,14400.0,11.0,0.0,0.08,2,N
277,24.0,16000.0,Rent,2.0,Debtconsolidation,D,4200.0,11.0,1.0,0.26,4,N
278,24.0,70000.0,Rent,3.0,Education,B,25000.0,11.86,1.0,0.36,4,N
279,30.0,43200.0,Own,6.0,Homeimprovement,B,2000.0,10.99,0.0,0.05,9,N
280,21.0,28000.0,Rent,2.0,Debtconsolidation,C,6625.0,13.06,1.0,0.24,2,N
281,28.0,300000.0,Mortgage,11.0,Debtconsolidation,A,10800.0,6.92,0.0,0.04,5,N
282,24.0,43200.0,Rent,3.0,Education,C,5000.0,14.17,0.0,0.12,4,Y
283,23.0,55000.0,Mortgage,7.0,Medical,C,10000.0,13.99,0.0,0.18,3,Y
284,31.0,62050.0,Rent,0.0,Medical,D,3600.0,15.95,1.0,0.05,9,N
285,25.0,66000.0,Rent,7.0,Debtconsolidation,B,6500.0,10.25,0.0,0.1,3,N
286,26.0,244800.0,Mortgage,11.0,Medical,D,12000.0,16.29,1.0,0.04,4,Y
